,click_predicted,clicked_groundtruth
3582,0.0,0.0
60498,0.0,0.0
53227,0.0,0.0
21333,0.0,0.0
3885,0.0,0.0
51521,0.0,0.0
84261,0.0,0.0
10685,0.0,0.0
59948,0.0,0.0
41032,0.0,0.0
25747,0.0,0.0
44303,0.0,0.0
83813,0.0,0.0
61991,0.0,0.0
49392,0.0,0.0
37116,0.0,0.0
65942,0.0,0.0
2216,0.0,0.0
81749,0.0,0.0
77996,0.0,0.0
30999,0.0,0.0
18294,0.0,0.0
81976,0.0,0.0
29876,0.0,0.0
85471,0.0,0.0
8959,0.0,0.0
70029,0.0,0.0
28324,0.0,0.0
50521,0.0,0.0
89741,0.0,0.0
8350,0.0,0.0
4655,0.0,0.0
90049,0.0,0.0
66296,0.0,0.0
35416,0.0,0.0
50253,0.0,0.0
46535,0.0,0.0
65667,0.0,0.0
56112,0.0,0.0
69884,0.0,0.0
69132,0.0,0.0
27954,0.0,0.0
45096,0.0,0.0
83141,0.0,1.0
7413,0.0,0.0
52692,0.0,0.0
27712,0.0,0.0
47173,0.0,0.0
47393,0.0,0.0
87379,0.0,0.0
54234,0.0,0.0
95572,0.0,0.0
1066,0.0,0.0
16820,0.0,0.0
55800,0.0,0.0
19767,0.0,0.0
54654,0.0,1.0
91959,0.0,0.0
46004,0.0,0.0
18632,0.0,0.0
92173,0.0,0.0
38806,0.0,0.0
3026,0.0,0.0
89926,0.0,0.0
40109,0.0,0.0
14664,0.0,1.0
43105,0.0,0.0
70847,0.0,0.0
64523,0.0,0.0
13303,0.0,0.0
22321,0.0,0.0
96669,0.0,0.0
822,0.0,0.0
67521,0.0,0.0
75286,0.0,0.0
14085,0.0,0.0
32500,0.0,0.0
73097,0.0,0.0
48652,0.0,1.0
90432,0.0,0.0
70715,0.0,0.0
98809,0.0,0.0
71060,0.0,0.0
16201,0.0,0.0
29565,0.0,0.0
43959,0.0,0.0
45976,0.0,0.0
57881,0.0,0.0
60515,0.0,0.0
11951,0.0,0.0
32239,0.0,0.0
1331,0.0,0.0
30578,0.0,0.0
80285,0.0,0.0
55407,0.0,0.0
95350,0.0,0.0
54177,0.0,0.0
63741,0.0,0.0
62122,0.0,0.0
26493,0.0,0.0
60005,0.0,0.0
74007,0.0,0.0
345,0.0,0.0
43895,0.0,0.0
15471,0.0,0.0
17226,0.0,0.0
31180,0.0,0.0
9221,0.0,0.0
38525,0.0,0.0
48805,0.0,0.0
66691,0.0,0.0
33411,0.0,0.0
24702,0.0,1.0
38259,0.0,0.0
65520,0.0,0.0
40280,0.0,0.0
85270,0.0,0.0
40425,0.0,0.0
30407,0.0,0.0
36017,0.0,0.0
24852,0.0,0.0
68371,0.0,0.0
32893,0.0,0.0
86902,0.0,0.0
66295,0.0,0.0
355,0.0,0.0
90756,0.0,0.0
45862,0.0,0.0
28100,0.0,0.0
94411,0.0,0.0
3854,0.0,0.0
39856,0.0,0.0
41824,0.0,0.0
16750,0.0,0.0
28809,0.0,0.0
94166,0.0,0.0
91124,0.0,1.0
61589,0.0,0.0
20823,0.0,0.0
43441,0.0,0.0
56613,0.0,0.0
52589,0.0,0.0
26549,0.0,0.0
35198,0.0,0.0
46955,0.0,0.0
21550,0.0,0.0
62616,0.0,0.0
78921,0.0,0.0
81448,0.0,0.0
69202,0.0,0.0
